Longitude,Latitude,Shortitude,Deltitude,Pi,Murphy,Smell_Level,Feng_Shui_Quality,Air_Apple,Air_Burn,Air_Copper,Air_Mint,Sound_Silence,Sound_Humming,Sound_Skittering,Sound_Squelching,Sound_BuzzingPerformance
102.776,-54.97,40.251,39.7,3.145,4.66,0,1,1,0,0,0,0,0,0,0,1,0.3309
0.869,-36.288,11.042,-41.2,3.1497,3.05,0,1,1,0,0,0,0,0,1,1,0,0.334
-63.18,-50.793,-65.621,-27.821,3.1067,3.95,1,0,0,1,0,0,0,0,0,0,1,0.20070000000000002
89.272,48.365,12.292,18.073,3.1342,4.69,1,1,1,0,0,0,0,0,1,0,0,0.2917
48.93,55.332,-62.088,57.399,3.1618,3.61,0,1,0,0,0,1,0,0,1,0,0,0.7784000000000001
-132.473,-48.012,25.195,-32.941,3.1338,4.37,1,1,1,0,0,0,0,1,0,0,1,0.04730000000000001
-74.408,38.923,-22.033,61.167,3.144,3.19,1,1,0,0,0,1,0,0,1,0,0,0.5533
-106.69,-82.957,31.557,52.949,3.1405,4.57,1,2,0,0,0,0,0,0,0,1,0,0.10300000000000001
-136.501,16.335,-86.373,-36.169,3.107,2.67,1,1,1,0,0,0,1,0,0,0,0,0.1576
129.403,15.814,-65.899,48.978,3.1635,1.86,1,1,0,0,0,0,0,0,0,0,1,0.1597
-123.455,-27.545,-42.477,-58.757,3.1569,3.21,1,1,0,0,0,0,0,0,0,0,1,0.1313
-102.343,-44.9,15.976,18.939,3.1381,5.4,0,0,0,0,0,1,0,0,1,0,0,0.23550000000000001
-111.166,-40.788,-43.37,-41.418,3.1479,4.84,0,0,0,0,0,1,0,0,0,0,1,0.2997
-109.37,11.593,14.632,51.957,3.139,4.51,0,0,0,0,0,1,0,0,1,0,0,0.25
-31.884,-67.8,-33.445,-50.66,3.1036,2.57,0,1,0,0,0,1,0,0,0,1,1,0.189
20.797,52.802,45.764,32.178,3.1239,3.15,1,1,0,0,0,1,0,1,1,0,0,0.11599999999999999
62.16,-25.484,-36.626,-50.666,3.1351,5.87,1,1,1,0,0,0,0,0,0,0,1,0.046
-150.668,62.472,41.814,40.451,3.173,2.17,1,1,0,0,0,0,0,1,0,1,1,0.022400000000000003
-77.218,35.426,-26.803,-36.769,3.1401,3.68,1,1,0,0,0,1,0,1,0,0,1,0.055
87.092,36.707,-60.285,-60.605,3.1371,3.77,0,1,0,0,0,0,0,0,1,0,0,0.3786
111.51,-34.828,44.279,-21.103,3.1514,5.82,0,1,0,1,0,0,0,0,1,0,0,0.1387
-95.872,43.345,31.04,31.693,3.1425,4.86,1,1,0,0,0,0,0,0,0,0,1,0.1328
73.521,64.617,32.28,-20.506,3.1475,3.95,1,1,1,0,0,0,0,0,0,1,0,0.2273
-70.235,44.849,25.662,-45.007,3.1422,4.46,0,1,1,0,0,0,0,1,0,1,1,0.035
-23.323,44.758,-30.023,-43.447,3.1283,5.72,1,1,0,0,0,0,1,0,0,0,0,0.08
43.864,29.363,64.516,19.337,3.1525,3.14,1,1,1,0,0,0,1,0,0,0,0,0.31620000000000004
41.377,-69.993,-21.473,72.483,3.1464,2.46,1,1,1,0,0,0,0,0,1,0,0,0.5406000000000001
-68.125,-15.054,-7.076,12.169,3.1294,3.88,1,0,0,0,0,1,0,0,1,0,0,0.2164
67,-53.726,-43.268,-53.6,3.1439,4.08,1,1,0,0,0,0,0,0,0,0,1,0.2257
162.83,-44.482,-46.676,32.46,3.1579,4.91,0,1,0,0,1,0,0,0,0,1,1,0.1602
-112.444,-35.039,49.216,35.999,3.1306,3.89,0,0,0,0,0,0,1,0,0,0,0,0.14470000000000002
-79.041,-50.449,4.666,-27.095,3.1532,3.37,0,1,1,0,0,0,0,0,0,1,0,0.2757
109.485,52.325,44.534,-28.421,3.1405,3.57,1,1,1,0,0,0,0,0,1,0,0,0.42060000000000003
142.185,21.205,9.667,40.459,3.1056,2.34,1,1,0,0,0,1,1,0,0,0,0,0.24739999999999998
-40.815,-23.26,27.542,-33.359,3.1233,3.4,1,1,1,0,0,0,0,0,1,0,0,0.2024
-111.322,-61.294,69.472,47.136,3.1112,3.21,1,0,0,0,0,1,0,1,0,0,1,0.05
-163.183,20.378,-20.394,-10.6,3.139,4.68,2,0,1,0,0,0,0,0,1,0,0,0.1635
-124.129,15.084,70.247,30.405,3.1205,3.93,1,1,1,0,0,0,0,0,1,0,0,0.1492
15.639,-20.574,82.241,-61.95,3.1182,3.67,1,1,0,0,0,1,0,0,0,0,1,0.2023
138.938,-54.673,-30.21,22.018,3.1498,2.94,2,1,0,1,0,0,1,0,0,0,0,0.8879000000000001
-16.69,-55.576,21.682,10.642,3.1496,4.74,1,0,1,0,0,0,0,0,0,1,1,0.1034
-8.448,-18.154,-22.374,72.367,3.1373,1.88,0,1,0,0,0,1,0,0,1,0,0,0.532
17.381,58.155,23.037,30.478,3.1394,5.8,1,1,1,0,0,0,1,0,0,0,0,0.1202
-28.531,44.477,43.245,56.955,3.1364,3.89,1,0,0,1,0,0,0,1,0,1,0,0.0516
-43.245,-72.667,-34.087,26.796,3.1567,2.62,1,1,0,0,0,0,0,0,0,0,1,0.2546
-37.858,-30.216,13.41,-19.63,3.1153,4.82,1,1,0,0,0,1,0,0,0,1,0,0.085
135.95,-68.578,-72.588,-25.734,3.1642,3.53,1,1,1,0,0,0,0,0,0,0,1,0.2967
-55.649,-31.06,30.976,-54.509,3.1389,4.37,0,1,0,0,0,0,1,0,0,0,0,0.18710000000000002
40.726,-56.68,-33.657,64.919,3.1259,5.4,1,1,0,0,0,0,0,1,1,1,0,0.0139
105.561,-28.216,-23.376,-15.158,3.1482,5.96,1,1,0,0,0,1,1,0,0,0,0,0.077
4.157,-8.859,21.045,58.093,3.1476,4.46,0,2,0,0,0,0,0,0,0,0,1,0.1736
-6.946,-61.548,-44.166,29.129,3.1406,5.1,0,1,0,0,0,0,0,0,0,0,1,0.17690000000000003
38.972,-53.66,50.088,13.476,3.1345,2.73,1,0,0,0,0,0,0,0,1,0,0,0.2684
119.938,-37.952,38.833,-52.23,3.1547,3.34,0,2,0,0,0,1,0,1,1,0,0,0.19899999999999998
-140.086,58.629,58.832,20.425,3.148,5.59,2,1,0,0,0,0,0,0,0,1,0,0.0625
-56.504,62.593,-51.472,-19.437,3.1268,1.84,1,0,0,0,0,1,1,0,0,0,0,0.4554
92.946,52.111,-25.113,-29.464,3.1383,3.79,1,0,0,0,0,1,0,0,0,0,1,0.36119999999999997
170.172,-23.723,-17.567,14.811,3.1372,5.85,1,1,0,0,1,0,1,0,0,0,0,0.071
156.874,1.577,-28.66,-38.132,3.12,4.63,1,0,1,0,0,0,0,0,0,0,1,0.08789999999999999
81.155,55.728,-21.992,72.266,3.1384,3.28,0,1,0,0,0,1,0,0,0,1,1,0.3172
124.599,66.065,12.918,-12.706,3.1158,2.2,1,1,1,0,0,0,0,0,1,0,0,0.35130000000000006
-131.624,-36.62,11.072,49.563,3.1098,5.47,0,1,0,0,0,1,0,0,1,0,0,0.1765
-10.872,-39.728,-59.66,-43.734,3.1584,5.75,0,1,0,0,0,0,1,0,0,0,0,0.121
-93.219,38.605,-52.328,-44.654,3.1081,2.06,2,1,0,0,1,0,0,0,0,0,1,0.326
-122.272,-15.094,-28.549,37.662,3.1451,4.28,1,1,1,0,0,0,1,0,0,0,0,0.19870000000000002
48.075,31.61,32.592,-51.391,3.1371,5.17,1,0,0,1,0,0,0,0,0,1,1,0.0672
52.462,-5.057,37.795,-56.873,3.1141,4.68,1,1,0,0,0,1,0,1,0,0,1,0.0349
74.791,-53.529,27.167,42.221,3.1461,3.86,1,1,0,0,0,0,0,1,1,0,0,0.0731
13.393,-64.673,24.566,-41.54,3.1559,1.29,1,0,1,0,0,0,0,1,0,0,1,0.08310000000000001
-79.755,19.447,-43.445,-52.325,3.1393,4.36,0,1,1,0,0,0,1,0,0,0,0,0.2493
38.576,12.016,24.044,-60.545,3.1561,3.25,1,1,1,0,0,0,0,0,0,0,1,0.2338
-174.977,14.453,-30.628,-46.2,3.1438,2.88,0,1,0,0,0,0,0,1,1,0,0,0.0567
-99.579,62.666,3.122,-42.59,3.1275,1.88,1,1,0,0,1,0,1,0,0,0,0,0.4748
99.427,-85.584,-47.5,70.886,3.1353,3.19,1,1,1,0,0,0,1,0,0,0,0,0.4451
172.594,2.686,-48.174,-28.764,3.1354,5.88,0,0,1,0,0,0,0,0,0,0,1,0.0434
125.789,27.792,50.365,-22.653,3.1237,2.6,1,1,0,0,0,0,0,0,0,0,1,0.12789999999999999
110.857,43.393,64.351,20.334,3.1358,5.62,1,1,1,0,0,0,0,0,1,0,0,0.1349
127.478,44.798,-57.813,22.483,3.1739,3.17,1,1,0,0,0,1,0,0,0,1,1,0.1927
29.311,56.51,-36.273,21.909,3.126,5.13,1,0,0,1,0,0,0,0,0,0,1,0.19340000000000002
141.771,77.332,-24.931,-28.74,3.111,5.13,1,1,0,0,0,1,0,0,1,0,0,0.20379999999999998
-19.348,39.945,-32.504,76.228,3.134,5.61,1,1,0,0,0,1,0,0,0,0,1,0.1464
-57.824,47.895,-38.695,-11.836,3.156,2.16,1,1,0,0,0,0,0,0,0,0,1,0.2566
-119.732,-58.696,-13.699,-40.819,3.1152,4.76,1,1,1,0,0,0,0,0,1,0,0,0.17250000000000001
158.237,55.263,-14.52,-32.025,3.1494,3,0,0,1,0,0,0,1,0,0,0,0,0.5332
29.547,22.879,23.68,-32.801,3.1455,4.7,1,1,0,0,0,1,0,0,1,0,0,0.2824
146.136,67.769,30.16,-37.345,3.1381,5.86,1,1,0,0,0,1,0,0,1,0,0,0.1247
142.493,64.717,-15.25,-34.54,3.1646,4.73,2,1,0,0,0,1,0,1,0,0,0,0.1086
-113.031,-8.984,28.099,-28.196,3.103,4.65,1,0,0,0,0,1,0,1,0,0,1,0.0191
-41.377,7.016,47.221,-63.908,3.1374,4.39,1,0,0,0,0,1,0,1,0,0,0,0.0516
171.998,19.773,-25.096,16.726,3.12,4.32,1,1,1,0,0,0,0,0,1,0,0,0.1468
8.449,23.104,30.51,23.418,3.1182,1.66,0,0,0,0,0,1,0,0,1,0,0,0.36719999999999997
12.853,-63.987,-40.547,-35.37,3.1417,3.22,1,1,1,0,0,0,0,0,0,1,1,0.1808
-155.479,-49.878,-45.071,-42.429,3.1471,2.87,1,1,0,0,0,0,0,0,0,0,1,0.2334
-47.523,23.765,35.194,-7.502,3.15,4.62,0,1,0,0,0,1,0,0,0,0,1,0.2768
81.097,45.504,-13.27,36.178,3.1638,2.21,1,1,0,0,0,1,1,0,0,0,0,0.6940999999999999
172.187,34.095,-36.85,-51.754,3.1339,3.6,1,1,0,0,0,1,0,0,0,0,1,0.22640000000000002
-92.313,-19.08,34.964,-15.587,3.1291,2.56,1,1,0,1,0,0,0,1,0,0,0,0.0753
-33.583,25.741,54.761,32.3,3.1644,4.2,1,0,0,0,0,0,0,0,0,0,1,0.09140000000000001
149.285,-15.673,-6.086,-31.745,3.1697,4.74,1,1,0,0,0,0,0,0,1,0,0,0.1085
127.625,-33.367,9.933,15.007,3.1216,5.35,0,0,1,0,0,0,0,0,1,0,0,0.1043
11.238,17.712,49.275,14.397,3.1144,5.06,0,1,1,0,0,0,0,0,1,0,0,0.1427
-108.405,-33.055,-35.587,-28.532,3.124,2.42,0,2,0,0,0,1,0,0,1,0,0,0.38689999999999997
-65.251,52.867,-39.641,-52.123,3.1279,1.13,0,1,1,0,0,0,0,0,0,0,1,0.4042
54.613,36.626,-26.556,-58.374,3.1362,3.61,1,1,0,1,0,0,0,0,0,0,1,0.46520000000000006
98.002,26.73,-29.666,-31.659,3.1577,1.01,0,1,0,0,0,0,0,1,0,0,1,0.056600000000000004
35.464,42.203,36.192,37.877,3.1594,5.48,0,0,0,0,0,0,0,0,0,0,1,0.1139
46.909,-22.494,45.444,27.281,3.1438,5.02,0,1,0,0,0,1,0,0,1,0,0,0.3015
79.434,-29.245,16.804,-31.78,3.126,5.07,1,1,1,0,0,0,0,0,0,0,1,0.1034
-138.328,46.762,44.68,-54.195,3.1145,3.61,1,1,0,0,0,1,0,0,1,0,0,0.3356
135.424,41.025,60.739,-58.776,3.1245,3.12,0,1,1,0,0,0,1,0,0,0,0,0.46770000000000006
109.454,-63.778,-25.401,-27.246,3.165,3.77,0,0,0,0,0,1,1,0,0,0,0,0.6014
36.386,23.746,17.73,18.807,3.1193,4.14,0,1,1,0,0,0,0,0,0,1,0,0.1262
-55.066,-50.71,43.037,5.968,3.1402,2.89,0,2,1,0,0,0,0,0,0,0,1,0.4508
-133.499,-46.183,-13.094,-62.859,3.144,4.63,1,1,0,0,0,1,0,0,1,1,0,0.1819
-11.446,19.153,57.095,-49.927,3.1465,4.16,1,1,0,1,0,0,0,0,0,0,1,0.2548
74.506,20.969,-40.683,31.391,3.1266,5.03,1,0,0,0,0,1,0,0,0,0,1,0.12300000000000001
-48.733,61.796,-34.604,59.476,3.1585,2.63,1,1,0,0,0,1,0,1,1,0,0,0.1404
64,87.065,-83.396,-24.522,3.1194,1.65,0,1,0,0,0,1,0,1,1,0,0,0.1703
16.118,-37.416,15.956,-35.243,3.1407,4.23,0,0,0,0,0,1,0,0,1,0,0,0.5635
-174.121,-60.204,-64.153,-53.621,3.118,5.68,0,2,0,0,0,0,0,0,1,0,0,0.0892
-67.017,-31.046,-16.565,45.486,3.1559,2.1,0,1,0,0,0,1,0,0,0,0,1,0.3979
114.678,-55.464,-10.426,34.898,3.1286,0.79,1,1,0,0,0,1,1,0,0,0,0,0.6239
61.844,-34.787,-53.675,-73.522,3.1457,4.21,1,1,1,0,0,0,1,0,0,0,0,0.26
-55.392,-30.313,22.906,-48.953,3.1568,4.87,1,1,1,0,0,0,0,0,1,0,0,0.1583
120.24,-33.184,-38.984,47.745,3.1291,3.75,1,1,1,0,0,0,0,0,1,0,0,0.2151
-1.04,65.77,55.83,52.291,3.1284,4.48,0,1,0,0,0,0,0,0,0,0,1,0.20440000000000003
-9.504,-25.624,47.873,-33.195,3.1635,3.29,1,0,0,0,0,0,0,0,0,1,0,0.0795
-27.378,69.548,-44.18,47.473,3.1443,3.98,0,1,1,0,0,0,0,1,0,0,0,0.1218
-156.485,23.164,54.089,-12.135,3.1279,4.25,0,1,1,0,0,0,0,0,0,0,1,0.15789999999999998
-150.931,37.141,25.765,-62.929,3.1271,4.25,1,1,0,0,0,0,0,0,0,0,1,0.1412
84.668,-11.359,73.994,58.461,3.1168,4.59,0,0,0,1,0,0,1,0,0,0,0,0.2372
88.921,54.204,-37.384,-58.339,3.1159,5.57,1,0,0,1,0,0,1,0,0,0,0,0.149
49.6,52.115,-8.643,35.624,3.137,5.93,1,1,1,0,0,0,0,1,0,0,0,0.0206
75.118,50.743,56.289,17.207,3.1458,3.77,1,0,0,0,0,1,0,0,0,0,1,0.3832
51.458,24.522,-39.78,-32.838,3.1657,4.4,1,0,0,0,0,1,0,0,0,0,1,0.1837
80.971,-30.915,23.9,29.11,3.1681,4.49,1,1,0,0,0,1,0,0,0,1,0,0.1354
-123.02,-34.063,14.202,62.47,3.1363,1.58,1,1,0,1,0,0,1,0,0,0,0,0.3705
-77.437,32.099,37.47,-41.409,3.1291,2.67,0,1,1,0,0,0,0,0,1,0,0,0.2958
8.613,-34.691,33.584,32.137,3.16,5.08,1,0,0,0,0,1,0,0,0,0,1,0.1381
-4.053,-9.938,37.904,-23.271,3.1116,1.7,1,1,0,0,0,1,1,0,0,0,0,0.3006
-3.731,64.709,-58.777,-34.332,3.109,4.06,0,1,0,0,0,1,0,1,0,0,0,0.1075
28.843,55.588,-29.611,42.282,3.1262,3.85,0,1,0,0,0,1,0,0,0,0,1,0.4855
111.367,-39.22,-48.474,45.541,3.1313,1.58,1,1,1,0,0,0,0,0,1,0,0,0.4482
-51.746,26.683,-61.14,-24.199,3.1455,2.62,1,1,1,0,0,0,0,0,1,0,0,0.28600000000000003
73.855,68.234,-43.006,29.302,3.1273,3.74,0,0,1,0,0,0,0,1,0,0,0,0.0974
117.338,-14.93,-27.248,-31.157,3.1585,4.51,1,1,0,1,0,0,0,0,0,0,1,0.22510000000000002
-60.475,-41.283,39.539,58.716,3.1357,1.18,1,1,0,0,0,1,0,1,0,1,0,0.07150000000000001
57.715,-17.991,-14.986,23.361,3.1234,5.9,0,1,0,0,0,1,0,0,1,0,0,0.0888
85.434,-43.811,-46.984,-52.426,3.1098,5.1,1,1,0,0,1,0,1,0,0,0,0,0.215
-140.62,-46.78,29.08,28.681,3.145,4.32,0,1,0,0,0,1,1,0,0,0,0,0.5649000000000001
-177.353,40.183,41.768,66.499,3.1538,3.96,1,1,0,0,0,1,0,0,0,0,1,0.37939999999999996
61.433,-12.568,12.675,-53.259,3.1447,4.96,1,1,0,0,0,1,1,0,0,0,0,0.2534
153.084,-64.714,37.337,33.132,3.1045,4.42,1,1,1,0,0,0,0,0,1,0,0,0.18460000000000001
-145.992,11.63,58.134,-30.175,3.1336,2.66,0,1,1,0,0,0,0,0,0,0,1,0.2243
122.333,62.796,11.553,-55.775,3.1191,4.42,1,1,0,0,0,1,1,0,0,0,0,0.3565
153.426,-33.035,-66.226,-48.153,3.1573,0.96,0,1,0,0,0,1,0,0,1,1,0,0.2688
24.249,-28.428,19.045,-22.343,3.1388,3.03,1,0,0,0,0,1,0,0,0,0,1,0.2564
-19.913,32.045,41.809,48.051,3.1634,3.72,1,0,0,0,1,0,1,0,0,0,0,0.2591
-132.399,-12.277,6.125,21.014,3.1402,2.26,1,1,1,0,0,0,1,0,0,0,0,0.25670000000000004
-20.547,36.512,-47.32,40.815,3.1418,5.83,1,1,1,0,0,0,1,0,0,0,0,0.1106
-116.258,26.513,21.292,-45.057,3.1637,0.93,0,1,0,0,0,1,0,0,1,0,0,0.4482
-151.804,28.61,35.693,-46.62,3.1601,2.63,1,0,0,0,0,0,0,0,1,0,0,0.1471
-2.304,75.152,32.784,37.838,3.1331,5.92,1,1,0,0,0,1,0,0,1,0,0,0.1092
16.759,-52.462,-76.698,-44.974,3.1628,2.75,1,0,0,0,0,1,0,1,1,0,0,0.1243
25.299,48.328,-55.952,35.582,3.1397,4.08,0,0,1,0,0,0,1,0,0,0,0,0.44880000000000003
-43.095,-28.929,-36.532,32.703,3.1526,1.27,1,1,0,0,0,0,0,0,0,0,1,0.17500000000000002
-63.524,25.63,-55.588,-49.394,3.1312,5.3,0,1,0,0,0,0,0,0,1,1,0,0.0487
-163.438,31.652,-53.142,38.154,3.1792,3.71,1,0,1,0,0,0,0,1,0,0,1,0.0255
-175.248,22.499,69.247,-26.578,3.1264,4.98,1,1,1,0,0,0,0,0,0,0,1,0.08779999999999999
-50.698,-54.574,52.049,-55.049,3.1627,3.42,0,1,0,0,0,0,1,0,0,0,0,0.363
75.312,36.91,15.189,-37.461,3.1381,5.4,1,1,0,0,0,1,0,0,0,1,1,0.10289999999999999
152.032,33.48,64.742,-44.744,3.1475,4.11,1,0,1,0,0,0,0,1,0,0,0,0.045
-129.254,69.064,39.291,65.893,3.1343,3.9,1,1,0,0,0,1,0,0,0,0,1,0.32130000000000003
-31.536,44.237,56.885,10.59,3.1749,3.29,1,1,0,0,0,1,0,0,1,0,0,0.4646
-126.065,36.801,62.126,-25.45,3.1374,4.96,1,1,0,0,0,0,0,0,1,0,0,0.1468
-86.272,22.84,-21.624,21.887,3.1234,2.12,0,1,0,0,0,1,0,0,0,0,1,0.2975
161.25,43.842,-42.863,42.514,3.149,3.28,1,1,1,0,0,0,0,1,0,1,1,0.0393
23.485,-23.916,-46.99,-74.054,3.1471,5.46,1,1,0,0,0,1,0,0,1,1,0,0.0848
60.413,-17.697,-50.622,-25.44,3.129,4.19,1,0,0,0,0,0,0,1,0,0,0,0.030299999999999997
-23.871,-29.954,-76.032,27.216,3.1335,2.78,0,1,0,0,0,1,0,1,0,0,1,0.0851
-136.45,-47.181,-9.074,39.864,3.1668,5.98,2,1,0,0,0,1,1,0,0,0,0,0.1003
20.605,33.947,11.898,-74.784,3.1427,5.67,0,0,0,0,0,0,0,0,0,0,1,0.056900000000000006
-8.367,-46.233,61.683,-57.622,3.1468,2.8,1,1,0,0,0,1,1,0,0,0,0,0.6820999999999999
67.346,56.176,-23.254,-8.665,3.1345,5.55,1,1,1,0,0,0,0,0,1,0,0,0.1593
-152.962,20.733,21.322,-44.713,3.1416,4.75,1,0,0,0,0,0,0,1,0,0,1,0.0168
-166.789,72.887,-39.511,53.383,3.1441,4.96,1,1,1,0,0,0,0,1,1,0,0,0.0542
-6.617,-45.821,52.124,40.372,3.1434,3.23,1,0,0,0,0,1,0,1,0,0,0,0.1229
-93.246,-37.844,-40.814,50.189,3.1693,4.87,1,1,0,0,0,1,0,0,1,0,0,0.28550000000000003
22.965,74.421,10.962,64.643,3.125,3.88,1,1,0,1,0,0,0,0,0,0,1,0.37460000000000004
-148.939,-33.758,-44.371,-55.069,3.1285,3.36,0,1,0,0,0,1,0,0,0,1,1,0.13670000000000002
-51.236,-39.07,-55.269,-44.632,3.1496,4.83,0,1,0,0,0,1,1,0,0,0,0,0.5293
29.584,-4.026,29.522,-23.834,3.1184,3.75,0,1,1,0,0,0,0,1,0,0,0,0.0633
75.794,-52.262,-19.27,-32.5,3.1418,3.59,1,1,1,0,0,0,0,0,0,1,0,0.2304
163.387,-39.591,-38.473,37.068,3.1295,4.55,1,0,0,0,0,0,0,1,1,0,0,0.0358
106.601,-43.222,26.192,-23.522,3.136,4.14,1,1,0,0,0,0,1,0,0,0,0,0.262
107.117,-48.547,50.322,-22.125,3.1383,4.14,0,1,0,1,0,0,0,0,0,0,1,0.5075999999999999
-121.29,-24.466,-59.531,53.588,3.1497,2.23,0,0,1,0,0,0,0,0,1,0,0,0.3072
34.478,-36.243,18.649,-71.964,3.1421,5.92,2,1,0,0,0,0,0,0,1,0,0,0.0835
-56.219,26.089,69.944,-43.247,3.1545,4.28,0,1,0,0,0,1,1,0,0,0,0,0.37950000000000006
-103.954,-30.359,58.364,-13.49,3.1684,1.6,0,1,0,0,0,1,0,1,1,0,0,0.0949
170.534,-53.171,40.726,-76.991,3.1753,3.06,1,1,0,0,0,1,0,0,0,1,0,0.2364
-161.584,14.662,50.01,22.886,3.1357,3.35,1,0,0,0,0,1,0,0,1,0,0,0.2413
-99.005,51.704,26.626,39.085,3.1268,3.9,1,1,0,0,0,1,0,0,1,0,0,0.38200000000000006
109.763,28.998,-19.838,-45.151,3.1642,3.39,1,0,0,1,0,0,0,0,1,0,0,0.3044
168.877,-16.051,-52.556,73.136,3.142,3.3,1,1,1,0,0,0,0,1,1,0,0,0.0571
-42.487,41.467,21.817,66.621,3.1285,0.65,0,0,0,0,0,0,0,0,1,0,0,0.3265
-93.922,-38.313,42.533,-36.37,3.1757,4.36,0,0,0,0,0,1,1,0,0,0,0,0.37450000000000006
-87.721,21.089,-34.863,-57.495,3.1473,4.63,1,0,0,0,1,0,0,0,0,0,1,0.1445
-156.903,17.965,-45.736,-51.582,3.1166,2.04,1,1,0,0,0,1,0,0,0,0,1,0.2029
-66.344,-41.59,17.531,-49.461,3.1266,1.6,1,1,1,0,0,0,0,1,1,0,0,0.08710000000000001
-171.068,56.902,-41.715,-15.478,3.1315,3.36,0,1,0,0,0,1,0,1,1,0,0,0.14150000000000001
-60.411,-58.74,-12.207,51.154,3.1339,4.04,1,1,0,0,1,0,0,0,0,0,1,0.3103
54.774,70.269,-36.391,-63.204,3.1458,1.3,0,1,0,0,0,0,0,0,1,0,0,0.5307000000000001
-145.902,-53.024,46.748,25.38,3.1266,1.77,1,0,0,0,0,1,1,0,0,0,0,0.40909999999999996
-117.599,26.696,-18.575,24.723,3.1423,4.06,1,1,0,0,0,0,0,0,1,0,0,0.1418
-78.423,-36.244,6.701,30.321,3.1353,4.44,0,1,0,0,1,0,0,0,1,0,0,0.4508
-157.261,29.655,-33.706,39.499,3.1257,4.87,0,0,0,0,0,0,0,0,0,0,1,0.0747
16.588,47.205,34.473,-19.774,3.1112,3.65,1,0,0,0,0,1,0,0,1,0,0,0.3311
-166.756,31.261,40.069,-69.631,3.1516,3.62,1,1,1,0,0,0,0,0,1,0,0,0.23829999999999998
59.207,-7.861,49.231,37.263,3.1536,4.98,1,1,0,0,0,0,0,0,1,1,0,0.06269999999999999
-27.81,24.654,-31.762,29.679,3.1281,3.97,1,1,0,0,0,0,0,1,0,1,0,0.0169
-14.014,-54.847,25.212,-65.902,3.1446,3.02,0,1,0,0,0,0,0,0,0,0,1,0.3493
45.372,27.631,-64.467,39.704,3.1494,4.85,1,0,0,0,0,1,0,0,0,1,0,0.1204
-75.169,-39.124,11.965,29.874,3.1293,1.66,1,1,0,0,0,0,0,0,0,0,1,0.2134
-77.019,64.353,-17.135,-21.438,3.1392,3.78,1,0,0,1,0,0,1,0,0,0,0,0.4253
